address;data0;data1;data2;data3;data4;data5;data6;data7;time
18FF0000;24;16;FF;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3422;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FE3522;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FF0000;24;16;FF;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FF0231;00;00;00;00;00;00;00;00;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FEF100;F3;00;00;04;00;00;00;FF;2000-01-01 05:44:59
18FEEF28;FF;FF;FF;00;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FE3422;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FF0800;00;40;30;05;00;00;00;0F;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3522;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE1282;7D;7D;00;93;01;90;01;1E;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FEF128;FF;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE1484;7D;7D;00;94;01;90;01;1C;2000-01-01 05:44:59
18FF0000;24;16;FF;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FE3322;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FEF103;F7;00;00;00;FF;FF;1F;FF;2000-01-01 05:44:59
0CF00300;D1;00;00;00;FF;FF;00;FF;2000-01-01 05:44:59
18FE3422;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FE3522;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FF0231;00;00;00;00;00;00;00;00;2000-01-01 05:44:59
18F0000F;C0;7D;7D;F3;00;7D;FF;7D;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3322;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FEDF00;84;50;00;00;7D;FF;FF;F3;2000-01-01 05:44:59
18FE1383;7D;7D;00;95;01;90;01;1D;2000-01-01 05:44:59
18FE3422;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FF0800;00;40;30;05;00;00;00;0F;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FF0000;24;16;FF;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE1282;7D;7D;00;93;01;90;01;1E;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FF0231;00;00;00;00;00;00;00;00;2000-01-01 05:44:59
18FE1484;7D;7D;00;94;01;90;01;1C;2000-01-01 05:44:59
18FF0000;24;16;FF;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FEF200;00;00;00;00;00;00;FF;FF;2000-01-01 05:44:59
18FEEF28;FF;FF;FF;00;FF;FF;FF;FF;2000-01-01 05:44:59
18FE1383;7D;7D;00;95;01;90;01;1E;2000-01-01 05:44:59
18FE3422;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
18FE3522;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE1282;7D;7D;00;93;01;90;01;1E;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FF0231;00;00;00;00;00;00;00;00;2000-01-01 05:44:59
18FE1484;7D;7D;00;94;01;90;01;1C;2000-01-01 05:44:59
0CF00203;CC;00;00;FF;FF;00;00;FF;2000-01-01 05:44:59
18FE3222;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
0CF00400;00;7D;7D;00;00;00;F0;7D;2000-01-01 05:44:59
0C000003;F0;B0;13;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18FE3322;00;00;00;FF;FF;FF;FF;FF;2000-01-01 05:44:59
18F00503;7D;FF;FF;7D;FF;FF;FF;FF;2000-01-01 05:44:59
